edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
0,0,0,1,4.618802153517008,1.0719965442688935,1.0,0.9999938365415953,0.9999815097387501,1.0,1.0,20.847479412359405,lattice
1,1,0,5,4.6188021535170085,1.0719959381371624,1.0,0.9999932711218665,0.9999798135014327,1.0,1.0,10.087698964979452,lattice
2,2,0,19,4.613314627542894,1.0720099831994798,1.0,1.0011958778485694,1.0035919256274477,1.0,1.0,18.65798943703425,lattice
3,3,1,2,4.618802153517009,1.072007861328125,1.0,1.0000043934687977,1.0000131804643002,1.0,1.0,-0.18905592106491786,lattice
4,4,1,22,4.624012388998761,1.0719987371580708,1.0,0.998869108770235,0.9966111616093122,1.0,1.0,21.85311506961556,lattice
5,5,2,3,4.618802153517008,1.0719940489716073,1.0,0.9999915088457461,0.9999745267535367,1.0,1.0,0.5102186795713504,lattice
6,6,3,4,4.6188021535170085,1.0720014851105844,1.0,0.9999984455221601,0.9999953365737295,1.0,1.0,0.9529440681611989,lattice
7,7,4,5,4.618802153517009,1.0720078613281245,1.0,1.000004393468797,1.0000131804642989,1.0,1.0,0.7170520893871712,lattice
8,8,5,14,4.608104716348225,1.0719965450330085,1.0,1.0023152626345975,1.0069618816378232,1.0,1.0,11.418918489838958,lattice
9,9,6,7,4.6188021535170085,1.0719959381371642,1.0,0.9999932711218681,0.9999798135014377,1.0,1.0,11.304322804433165,lattice
10,10,6,11,4.618802153517008,1.071996544268893,1.0,0.9999938365415948,0.9999815097387488,1.0,1.0,21.926924915638324,lattice
11,11,6,24,4.613314641041001,1.0720099863360761,1.0,1.0011958778485697,1.0035919256274486,1.0,1.0,19.33520157973636,lattice
12,12,7,8,4.618802153517009,1.0720078613281245,1.0,1.000004393468797,1.0000131804642989,1.0,1.0,-0.0626560862449721,lattice
13,13,7,27,4.608104716348225,1.0719965450330085,1.0,1.0023152626345975,1.0069618816378232,1.0,1.0,11.809563661873668,lattice
14,14,8,9,4.6188021535170085,1.0720014851105844,1.0,0.9999984455221601,0.9999953365737295,1.0,1.0,0.2065584747863447,lattice
15,15,9,10,4.618802153517008,1.0719940489716073,1.0,0.9999915088457461,0.9999745267535367,1.0,1.0,0.35282207136690946,lattice
16,16,10,11,4.618802153517009,1.072007861328125,1.0,1.0000043934687977,1.0000131804643002,1.0,1.0,0.5466997490025438,lattice
17,17,11,22,4.624012388998759,1.071993161440841,1.0,0.9988639134173799,0.996595610863971,1.0,1.0,22.15510070793234,lattice
18,18,12,13,4.618802153517005,1.0720031515157282,1.0,1.0000000000000013,1.000000000000004,1.0,1.0,19.944259551997632,lattice
