edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
0,0,0,1,4.618802153517006,1.071993755951575,1.0,1.000000957454679,1.0000028723667875,1.0,1.0,4.99787877115514,lattice
1,1,0,5,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,4.473553702756905,lattice
2,2,0,11,4.618802506005171,1.0720002319335937,1.0,1.0000069222071981,1.0000207667653456,1.0,1.0,6.017489918956054,lattice
3,3,1,2,4.618802153517009,1.0719926025390625,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,7.149042356219182,lattice
4,4,1,6,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,5.023707951223422,lattice
5,5,2,3,4.618802153517008,1.0719937559515753,1.0,1.0000009574546789,1.0000028723667869,1.0,1.0,4.567844102724705,lattice
6,6,2,9,4.618802153517007,1.071992729567124,1.0,1.0000000000000036,1.0000000000000107,1.0,1.0,4.533130097789462,lattice
7,7,3,4,4.618802153517007,1.0719911193120906,1.0,0.99999849788624,0.9999954936654889,1.0,1.0,3.396320362435268,lattice
8,8,4,5,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,4.2689213061574804,lattice
9,9,5,12,4.618802329761096,1.0719932939348273,1.0,1.0000004883080005,1.000001464924717,1.0,1.0,6.026039204737832,lattice
10,10,6,7,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,4.474809970648863,lattice
11,11,6,15,4.618802506006415,1.0719926025393514,1.0,0.9999998051869625,0.9999994155610015,1.0,1.0,6.051063056125816,lattice
12,12,7,8,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,4.322303637019731,lattice
13,13,7,18,4.618802329761097,1.0719932939348265,1.0,1.0000004883079996,1.0000014649247138,1.0,1.0,5.994412266250038,lattice
14,14,8,9,4.618802153517007,1.071990153695043,1.0,0.9999975971179595,0.9999927913712001,1.0,1.0,3.4655957819192507,lattice
15,15,10,11,4.618802153517006,1.0719927295671199,1.0,0.9999999999999998,0.9999999999999993,1.0,1.0,19.321456736019925,lattice
16,16,10,13,4.618802153517005,1.0719911319605109,1.0,0.99999850968522,0.999995529062323,1.0,1.0,36.98113820435343,lattice
17,17,10,20,4.618802506005171,1.071992602539062,1.0,0.9999998051869621,0.9999994155609998,1.0,1.0,15.903575171035843,lattice
18,18,11,14,4.618805090073107,1.0719937559499417,1.0,1.0000003216699052,1.0000009650100263,1.0,1.0,14.320721015051685,lattice
19,19,12,13,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,6.8147111257159665,lattice
20,20,13,21,4.618802329761096,1.071992729567136,1.0,0.9999999618420514,0.9999998855261586,1.0,1.0,45.08285202479878,lattice
21,21,14,15,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,14.380013833761506,lattice
22,22,14,24,4.618802506006415,1.0719926025393514,1.0,0.9999998051869625,0.9999994155610015,1.0,1.0,9.308564432736022,lattice
23,23,15,16,4.618799216961525,1.0719927295672942,1.0,1.0000006357834779,1.0000019073516462,1.0,1.0,19.42232580990386,lattice
24,24,16,17,4.618802153517006,1.071991589147587,1.0,0.9999989361685936,0.9999968085091763,1.0,1.0,36.951108556542266,lattice
25,25,16,26,4.618802506005171,1.071992602539062,1.0,0.9999998051869621,0.9999994155609998,1.0,1.0,16.196738705668466,lattice
26,26,17,18,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,6.758909953848069,lattice
27,27,17,29,4.6188023297610945,1.0719927295671392,1.0,0.9999999618420546,0.9999998855261683,1.0,1.0,45.441159376583904,lattice
28,28,19,20,4.618802153517005,1.0719917215256716,1.0,0.9999990596564505,0.9999971789720044,1.0,1.0,22.870346246236608,lattice
29,29,19,22,4.618802153517005,1.0719927295671192,1.0,0.9999999999999994,0.9999999999999983,1.0,1.0,55.75960049873521,lattice
30,30,19,31,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,37.067568606479554,lattice
31,31,20,23,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,26.830179314678794,lattice
32,32,21,22,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,33.630914937811404,lattice
33,33,22,32,4.618802329761096,1.0719927295671392,1.0,0.9999999618420542,0.9999998855261673,1.0,1.0,32.88304131537841,lattice
34,34,23,24,4.618802153517006,1.0719937559515744,1.0,1.0000009574546787,1.0000028723667862,1.0,1.0,15.11116553665184,lattice
35,35,23,35,4.618802506005169,1.0720002319335937,1.0,1.0000069222071986,1.000020766765347,1.0,1.0,18.200189595187254,lattice
36,36,24,25,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,15.006925340164301,lattice
37,37,25,26,4.618802153517005,1.0719927295671206,1.0,1.0000000000000007,1.000000000000002,1.0,1.0,26.99820753270512,lattice
38,38,25,38,4.618802506005169,1.0719926025390625,1.0,0.9999998051869629,0.9999994155610021,1.0,1.0,18.17222632940898,lattice
39,39,26,27,4.618802153517004,1.0719917215256725,1.0,0.9999990596564514,0.9999971789720077,1.0,1.0,22.85746379554987,lattice
40,40,27,28,4.618802153517005,1.0719927295671192,1.0,0.9999999999999994,0.9999999999999983,1.0,1.0,55.39472439133086,lattice
41,41,27,37,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,37.360998548851086,lattice
42,42,28,29,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,34.76595459095684,lattice
43,43,28,41,4.618802329761096,1.0719927295671392,1.0,0.9999999618420542,0.9999998855261673,1.0,1.0,30.44387291921098,lattice
44,44,30,31,4.618802153517006,1.0719954397332145,1.0,1.0000025281571598,1.0000075844906542,1.0,1.0,20.020361470245906,lattice
45,45,30,33,4.618802153517006,1.071992729567116,1.0,0.9999999999999963,0.999999999999989,1.0,1.0,59.734153718482744,lattice
46,46,30,162,0.6035480349133692,0.95,1.0,6.7818672536195335,311.92332690854084,1.1006965773357074,1.0,54.01821237095601,lattice
47,46,162,163,0.643301236026747,0.95,1.0,6.362777536766946,257.59665397172887,1.1006965773357074,1.0,53.47534948868833,lattice
48,46,163,164,0.5784094012785661,0.95,1.0,7.076618472862773,354.3866434892343,1.1006965773357074,1.0,50.75314536669546,lattice
49,46,164,165,0.7166913826560565,0.95,1.0,5.7112206913889105,186.28883515935684,1.1006965773357074,1.0,47.55583725774406,lattice
50,46,165,166,0.7166913826560547,0.95,1.0,5.711220691388925,186.28883515935823,1.1006965773357074,1.0,44.033662973346836,lattice
51,46,166,167,0.5784094012785671,0.95,1.0,7.07661847286276,354.38664348923237,1.1006965773357074,1.0,41.29478344379898,lattice
52,46,167,168,0.6433012360267463,0.95,1.0,6.362777536766953,257.5966539717298,1.1006965773357074,1.0,39.07494991261373,lattice
53,46,168,44,0.6035480349133696,0.95,1.0,6.781867253619528,311.92332690854016,1.1006965773357074,1.0,36.22758635780845,lattice
54,47,31,169,0.6035479927648711,0.95,1.0,6.781867727228131,311.92339225761407,1.100696591548895,1.0,51.20811921672692,lattice
55,47,169,170,0.6433011964828399,0.95,1.0,6.362777927888687,257.5967014753501,1.100696591548895,1.0,49.37016415706741,lattice
56,47,170,171,0.578409357298223,0.95,1.0,7.076619010945541,354.38672432842117,1.100696591548895,1.0,46.85721611689178,lattice
57,47,171,172,0.7166913471614983,0.95,1.0,5.711220974240456,186.28886283754878,1.100696591548895,1.0,42.85339916401823,lattice
58,47,172,173,0.7166913471614981,0.95,1.0,5.711220974240458,186.28886283754892,1.100696591548895,1.0,38.61492552395356,lattice
59,47,173,174,0.578409357298223,0.95,1.0,7.076619010945541,354.38672432842117,1.100696591548895,1.0,36.137766760544075,lattice
60,47,174,175,0.6433011964828399,0.95,1.0,6.362777927888687,257.5967014753501,1.100696591548895,1.0,33.260550526582456,lattice
61,47,175,34,0.6035479927648711,0.95,1.0,6.781867727228131,311.92339225761407,1.100696591548895,1.0,30.087320852509002,lattice
62,48,32,33,4.618802153517008,1.071992602539062,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,66.925653413007,lattice
63,49,33,45,4.618802329761097,1.0719927295671376,1.0,0.9999999618420528,0.9999998855261626,1.0,1.0,17.733760297095614,lattice
