edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
0,0,0,1,4.618802153517008,1.3855004208939603,1.0,1.2924406228983305,2.158896388430558,1.0,1.0,16.9296276643905,lattice
1,1,0,5,4.6188021535170085,1.3947156170259831,1.0,1.301036862675231,2.202261087706546,1.0,1.0,8.587594933803677,lattice
2,2,0,19,4.613314627542894,1.441967255620812,1.0,1.3467147647369708,2.442456651464067,1.0,1.0,14.247855125063435,lattice
3,3,1,2,4.618802153517009,1.2056770147949147,1.0,1.124695401398944,1.4226719152918939,1.0,1.0,0.11045741539623677,lattice
4,4,1,22,4.624012388998761,1.2521933755471366,1.0,1.1667712262018533,1.588389952663889,1.0,1.0,18.477490491946092,lattice
5,5,2,3,4.618802153517008,1.2056736889017454,1.0,1.1246922988957806,1.422660141885681,1.0,1.0,0.34095294073992477,lattice
6,6,3,4,4.6188021535170085,1.2053240088678623,1.0,1.12436610579328,1.4214226638279428,1.0,1.0,-0.09545560070585157,lattice
7,7,4,5,4.618802153517009,1.204970518316653,1.0,1.1240363581141712,1.4201724303640846,1.0,1.0,-0.30981804778116295,lattice
8,8,5,14,4.608104716348225,1.2617592597450398,1.0,1.1797431341292646,1.6419592534372847,1.0,1.0,9.31542846468545,lattice
9,9,6,7,4.6188021535170085,1.40627192861059,1.0,1.3118169723869118,2.2574582993954846,1.0,1.0,8.43580106490358,lattice
10,10,6,11,4.618802153517008,1.3924905431229835,1.0,1.298961240136386,2.191737694556643,1.0,1.0,16.627593497964476,lattice
11,11,6,24,4.613314641041001,1.4515815565079433,1.0,1.355693966717533,2.4916382537244406,1.0,1.0,14.2479967646975,lattice
12,12,7,8,4.618802153517009,1.2094309662248683,1.0,1.1281972114679217,1.436002069768627,1.0,1.0,-0.3819704076668651,lattice
13,13,7,27,4.608104716348225,1.2688553347302214,1.0,1.1863779542650221,1.6698182511843391,1.0,1.0,9.380392125202075,lattice
14,14,8,9,4.6188021535170085,1.2097965290902977,1.0,1.128538220601069,1.4373046022816345,1.0,1.0,0.05192676407703711,lattice
