edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
0,0,0,1,4.618802153517006,1.071993755951575,1.0,1.000000957454679,1.0000028723667875,1.0,1.0,5.2254404367327645,lattice
1,1,0,5,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,5.286242364449123,lattice
2,2,0,11,4.618802506005171,1.0720002319335937,1.0,1.0000069222071981,1.0000207667653456,1.0,1.0,6.037323743135281,lattice
3,3,1,2,4.618802153517009,1.0719926025390625,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,7.578979513515538,lattice
4,4,1,6,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,5.216706691265949,lattice
5,5,2,3,4.618802153517008,1.0719937559515753,1.0,1.0000009574546789,1.0000028723667869,1.0,1.0,4.9544275081698785,lattice
6,6,2,9,4.618802153517007,1.071992729567124,1.0,1.0000000000000036,1.0000000000000107,1.0,1.0,4.983686866379733,lattice
7,7,3,4,4.618802153517007,1.0719911193120906,1.0,0.99999849788624,0.9999954936654889,1.0,1.0,3.5109579002900793,lattice
8,8,4,5,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,4.04079606375729,lattice
9,9,5,12,4.618802329761096,1.0719932939348273,1.0,1.0000004883080005,1.000001464924717,1.0,1.0,6.544402773938285,lattice
10,10,6,7,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,5.269023318450339,lattice
11,11,6,15,4.618802506006415,1.0719926025393514,1.0,0.9999998051869625,0.9999994155610015,1.0,1.0,6.020561180699224,lattice
12,12,7,8,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,4.013946968573601,lattice
13,13,7,18,4.618802329761097,1.0719932939348265,1.0,1.0000004883079996,1.0000014649247138,1.0,1.0,6.519889299775272,lattice
14,14,8,9,4.618802153517007,1.071990153695043,1.0,0.9999975971179595,0.9999927913712001,1.0,1.0,3.495855891029409,lattice
15,15,10,11,4.618802153517006,1.0719927295671199,1.0,0.9999999999999998,0.9999999999999993,1.0,1.0,18.69468007088566,lattice
16,16,10,13,4.618802153517005,1.16455166197154,1.0,1.0863428732784375,1.2820375891768705,1.0,1.0,33.07679300611812,lattice
17,17,10,20,4.618802506005171,1.164550536581359,1.0,1.086341740561868,1.2820335788858053,1.0,1.0,14.153269229375343,lattice
18,18,11,14,4.618805090073107,1.0719937559499417,1.0,1.0000003216699052,1.0000009650100263,1.0,1.0,15.993409928804937,lattice
19,19,12,13,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,5.640667674223954,lattice
20,20,13,21,4.618802329761096,1.1645506218555506,1.0,1.0863418615618092,1.2820340072758767,1.0,1.0,41.844772897042134,lattice
21,21,14,15,4.618802153517005,1.0729058099734263,1.0,1.0008517598870983,1.0025574567639588,1.0,1.0,16.025636236256325,lattice
22,22,14,24,4.618802506006415,1.072905683357557,1.0,1.0008515653932948,1.0025568722882658,1.0,1.0,10.607728434458652,lattice
23,23,15,16,4.618799216961525,1.0729058099736009,1.0,1.0008523962121114,1.0025593689935746,1.0,1.0,18.805928276330853,lattice
24,24,16,17,4.618802153517006,1.1690864901896367,1.0,1.0905731521721458,1.2970729606816205,1.0,1.0,32.755204302759445,lattice
25,25,16,26,4.618802506005171,1.1700006546313162,1.0,1.0914258399999555,1.300117772385039,1.0,1.0,14.422039956396372,lattice
26,26,17,18,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,5.552258173557112,lattice
27,27,17,29,4.6188023297610945,1.1690876570405926,1.0,1.0905741990458058,1.2970766959821405,1.0,1.0,41.97699971605062,lattice
28,28,19,20,4.618802153517005,1.2639667751012102,1.0,1.179081480908561,1.6391981478940252,1.0,1.0,21.113497398800884,lattice
29,29,19,22,4.618802153517005,1.3864329611989186,1.0,1.2933231009493624,2.163321689976194,1.0,1.0,48.3921731181034,lattice
30,30,19,31,4.618802506005169,1.3932909336554786,1.0,1.2997204075141646,2.195582770945595,1.0,1.0,30.380831600767387,lattice
31,31,20,23,4.618802153517005,1.1714088828128093,1.0,1.0927395778941846,1.3048182403381763,1.0,1.0,26.4578556503835,lattice
32,32,21,22,4.618802153517009,1.164550536581359,1.0,1.0863418234670434,1.2820338724045655,1.0,1.0,33.63499145059545,lattice
33,33,22,32,4.618802329761096,1.2938750689105372,1.0,1.2069811518790594,1.7583343676879268,1.0,1.0,31.33926303147312,lattice
34,34,23,24,4.618802153517006,1.1220246611539557,1.0,1.046671894507194,1.1466521445209348,1.0,1.0,16.76456069650971,lattice
