edge,parent,node_i,node_j,rest_length,ligament_width,thickness,axial_stiffness_proxy,bending_stiffness_proxy,compliance_factor,boundary_factor,demand_pct,kind
0,0,0,1,4.618802153517006,1.071993755951575,1.0,1.000000957454679,1.0000028723667875,1.0,1.0,4.343417941421368,lattice
1,1,0,5,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,5.492267610798063,lattice
2,2,0,11,4.618802506005171,1.0720002319335937,1.0,1.0000069222071981,1.0000207667653456,1.0,1.0,4.7551307953840105,lattice
3,3,1,2,4.618802153517009,1.0719926025390625,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,7.232870119681567,lattice
4,4,1,6,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,4.3230150532076905,lattice
5,5,2,3,4.618802153517008,1.0719937559515753,1.0,1.0000009574546789,1.0000028723667869,1.0,1.0,4.960624989553253,lattice
6,6,2,9,4.618802153517007,1.071992729567124,1.0,1.0000000000000036,1.0000000000000107,1.0,1.0,4.988221816668892,lattice
7,7,3,4,4.618802153517007,1.0719911193120906,1.0,0.99999849788624,0.9999954936654889,1.0,1.0,3.292410730654627,lattice
8,8,4,5,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,3.6484994502235635,lattice
9,9,5,12,4.618802329761096,1.0719932939348273,1.0,1.0000004883080005,1.000001464924717,1.0,1.0,6.685540811060986,lattice
10,10,6,7,4.618802153517005,1.0719927295671172,1.0,0.9999999999999974,0.9999999999999927,1.0,1.0,5.489435228915407,lattice
11,11,6,15,4.618802506006415,1.0719926025393514,1.0,0.9999998051869625,0.9999994155610015,1.0,1.0,4.757415145115207,lattice
12,12,7,8,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,3.638960642398259,lattice
13,13,7,18,4.618802329761097,1.0719932939348265,1.0,1.0000004883079996,1.0000014649247138,1.0,1.0,6.591878741471047,lattice
14,14,8,9,4.618802153517007,1.071990153695043,1.0,0.9999975971179595,0.9999927913712001,1.0,1.0,3.290133212200197,lattice
15,15,10,11,4.618802153517006,1.0719927295671199,1.0,0.9999999999999998,0.9999999999999993,1.0,1.0,18.361168113311166,lattice
16,16,10,13,4.618802153517005,1.0719911319605109,1.0,0.99999850968522,0.999995529062323,1.0,1.0,33.78801653786241,lattice
17,17,10,20,4.618802506005171,1.071992602539062,1.0,0.9999998051869621,0.9999994155609998,1.0,1.0,13.112264657470973,lattice
18,18,11,14,4.618805090073107,1.0719937559499417,1.0,1.0000003216699052,1.0000009650100263,1.0,1.0,14.447159787590614,lattice
19,19,12,13,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,5.291642536850416,lattice
20,20,13,21,4.618802329761096,1.071992729567136,1.0,0.9999999618420514,0.9999998855261586,1.0,1.0,43.15308340600497,lattice
21,21,14,15,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,14.527859950004117,lattice
22,22,14,24,4.618802506006415,1.0719926025393514,1.0,0.9999998051869625,0.9999994155610015,1.0,1.0,9.078848932257898,lattice
23,23,15,16,4.618799216961525,1.0719927295672942,1.0,1.0000006357834779,1.0000019073516462,1.0,1.0,18.32896496836398,lattice
24,24,16,17,4.618802153517006,1.071991589147587,1.0,0.9999989361685936,0.9999968085091763,1.0,1.0,34.06886981161878,lattice
25,25,16,26,4.618802506005171,1.071992602539062,1.0,0.9999998051869621,0.9999994155609998,1.0,1.0,13.406978502355882,lattice
26,26,17,18,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,5.096074767016967,lattice
27,27,17,29,4.6188023297610945,1.0719927295671392,1.0,0.9999999618420546,0.9999998855261683,1.0,1.0,43.60282489110645,lattice
28,28,19,20,4.618802153517005,1.0719917215256716,1.0,0.9999990596564505,0.9999971789720044,1.0,1.0,21.8335114468986,lattice
29,29,19,22,4.618802153517005,1.0719927295671192,1.0,0.9999999999999994,0.9999999999999983,1.0,1.0,51.41990946418014,lattice
30,30,19,31,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,31.95343209953887,lattice
31,31,20,23,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,25.045425357035846,lattice
32,32,21,22,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,30.229531894232476,lattice
33,33,22,32,4.618802329761096,1.0719927295671392,1.0,0.9999999618420542,0.9999998855261673,1.0,1.0,32.595486426928645,lattice
34,34,23,24,4.618802153517006,1.0719937559515744,1.0,1.0000009574546787,1.0000028723667862,1.0,1.0,15.250286654987399,lattice
35,35,23,35,4.618802506005169,1.0720002319335937,1.0,1.0000069222071986,1.000020766765347,1.0,1.0,18.787782677857546,lattice
36,36,24,25,4.618802153517005,1.0719927295671203,1.0,1.0000000000000004,1.0000000000000013,1.0,1.0,15.152968732214855,lattice
37,37,25,26,4.618802153517005,1.0719927295671206,1.0,1.0000000000000007,1.000000000000002,1.0,1.0,25.056279979186137,lattice
38,38,25,38,4.618802506005169,1.0719926025390625,1.0,0.9999998051869629,0.9999994155610021,1.0,1.0,18.876751983731687,lattice
39,39,26,27,4.618802153517004,1.0719917215256725,1.0,0.9999990596564514,0.9999971789720077,1.0,1.0,21.40517406183118,lattice
40,40,27,28,4.618802153517005,1.0719927295671192,1.0,0.9999999999999994,0.9999999999999983,1.0,1.0,51.52497409191001,lattice
41,41,27,37,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,32.18694394217856,lattice
42,42,28,29,4.618802153517009,1.071992602539062,1.0,0.9999998815028728,0.9999996445086604,1.0,1.0,31.001762572846836,lattice
43,43,28,41,4.618802329761096,1.0719927295671392,1.0,0.9999999618420542,0.9999998855261673,1.0,1.0,31.65170233814014,lattice
44,44,30,31,4.618802153517006,1.0719954397332145,1.0,1.0000025281571598,1.0000075844906542,1.0,1.0,19.54378412637674,lattice
45,45,30,33,4.618802153517006,1.071992729567116,1.0,0.9999999999999963,0.999999999999989,1.0,1.0,55.18199991241677,lattice
46,46,30,44,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,41.087604934347,lattice
47,47,31,34,4.618802153517006,1.0719927295671148,1.0,0.999999999999995,0.999999999999985,1.0,1.0,38.21293643453703,lattice
48,48,32,33,4.618802153517008,1.071992602539062,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,60.61300109570518,lattice
49,49,33,45,4.618802329761097,1.0719927295671376,1.0,0.9999999618420528,0.9999998855261626,1.0,1.0,13.589918093568066,lattice
50,50,34,35,4.618802153517007,1.0719927295671152,1.0,0.9999999999999952,0.9999999999999857,1.0,1.0,17.426835316759547,lattice
51,51,34,48,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,28.197519148718754,lattice
52,52,35,42,4.61880509007311,1.0719937559499386,1.0,1.0000003216699016,1.0000009650100155,1.0,1.0,22.81653052106114,lattice
53,53,36,37,4.618802153517007,1.0719927295671148,1.0,0.9999999999999948,0.9999999999999843,1.0,1.0,38.320735475473924,lattice
54,54,36,38,4.618802153517007,1.0719927295671168,1.0,0.9999999999999968,0.99999999999999,1.0,1.0,17.3578412696912,lattice
55,55,36,52,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,28.431472963433446,lattice
56,56,37,39,4.618802153517004,1.0719938800709743,1.0,1.0000010732384863,1.000003219718915,1.0,1.0,19.29457923838669,lattice
57,57,38,42,4.618799216961528,1.0719927295672895,1.0,1.0000006357834732,1.0000019073516322,1.0,1.0,22.91284564880398,lattice
58,58,39,40,4.618802153517006,1.0719927295671148,1.0,0.999999999999995,0.999999999999985,1.0,1.0,55.5720623916216,lattice
59,59,39,54,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,41.493183763188846,lattice
60,60,40,41,4.618802153517008,1.071992602539062,1.0,0.9999998815028731,0.9999996445086614,1.0,1.0,60.210992976095,lattice
61,61,40,57,4.618802329761097,1.0719927295671376,1.0,0.9999999618420528,0.9999998855261626,1.0,1.0,14.45121894527588,lattice
62,62,42,50,4.61880250600641,1.0719926025393514,1.0,0.9999998051869636,0.9999994155610048,1.0,1.0,23.01569054750141,lattice
63,63,43,44,4.618802153517007,1.071992729567115,1.0,0.999999999999995,0.999999999999985,1.0,1.0,24.830369698548193,lattice
64,64,43,46,4.618802153517007,1.0719927295671159,1.0,0.999999999999996,0.9999999999999877,1.0,1.0,44.89544861164458,lattice
65,65,43,59,4.618798691308213,1.0719926025391342,1.0,1.0000006310936058,1.000001893282012,1.0,1.0,25.808584628932984,lattice
66,66,44,47,4.618802153517007,1.0719952812294438,1.0,1.0000023802981617,1.0000071409114826,1.0,1.0,40.99664623029715,lattice
67,67,45,46,4.618802153517006,1.071992602539062,1.0,0.9999998815028736,0.9999996445086627,1.0,1.0,19.717458220972194,lattice
68,68,46,60,4.618798954135292,1.071993242758567,1.0,1.000001171413883,1.000003514245766,1.0,1.0,47.76049278073196,lattice
69,69,47,48,4.618802153517007,1.0719927295671148,1.0,0.9999999999999948,0.9999999999999843,1.0,1.0,22.44635573827822,lattice
70,70,47,63,4.618798691307902,1.071992602539062,1.0,1.0000006310936058,1.000001893282012,1.0,1.0,27.187844109779768,lattice
71,71,48,49,4.618802153517007,1.0719927295671163,1.0,0.9999999999999961,0.9999999999999887,1.0,1.0,29.855498462357776,lattice
72,72,49,50,4.618802153517007,1.0719937559515722,1.0,1.0000009574546762,1.0000028723667789,1.0,1.0,23.254605423924126,lattice
73,73,49,65,4.618798691307902,1.0720002319335937,1.0,1.0000077481197198,1.00002324453926,1.0,1.0,23.3641026887804,lattice
74,74,50,51,4.618802153517006,1.071992729567116,1.0,0.9999999999999963,0.999999999999989,1.0,1.0,23.016271744871553,lattice
75,75,51,52,4.618802153517007,1.0719927295671163,1.0,0.9999999999999961,0.9999999999999887,1.0,1.0,30.255428541676444,lattice
76,76,51,67,4.618798691309147,1.0719926025393514,1.0,1.0000006310936063,1.0000018932820136,1.0,1.0,23.48797916999754,lattice
77,77,52,53,4.618802153517006,1.071992729567115,1.0,0.9999999999999952,0.9999999999999857,1.0,1.0,22.53642699040801,lattice
78,78,53,54,4.618802153517007,1.0719956737720089,1.0,1.0000027464784111,1.0000082394578629,1.0,1.0,42.107735541097945,lattice
79,79,53,69,4.618798691307902,1.071992602539062,1.0,1.0000006310936058,1.000001893282012,1.0,1.0,27.762111497341202,lattice
80,80,54,55,4.618802153517007,1.0719927295671159,1.0,0.999999999999996,0.9999999999999877,1.0,1.0,26.03199863927861,lattice
81,81,55,56,4.618802153517007,1.0719927295671159,1.0,0.999999999999996,0.9999999999999877,1.0,1.0,47.44917721998818,lattice
82,82,55,71,4.618798691307902,1.071992602539062,1.0,1.0000006310936058,1.000001893282012,1.0,1.0,27.408734054874074,lattice
83,83,56,57,4.618802153517006,1.071992602539062,1.0,0.9999998815028736,0.9999996445086627,1.0,1.0,21.014905003703245,lattice
84,84,56,74,4.618800422413428,1.0719927295671605,1.0,1.000000374795097,1.0000011243857123,1.0,1.0,45.87539199176665,lattice
85,85,58,59,4.618802153517007,1.07199933681759,1.0,1.0000061635217175,1.0000184906791196,1.0,1.0,36.13726838299583,lattice
86,86,58,61,4.618802153517007,1.0719998500078682,1.0,1.0000066422472387,1.0000199268740746,1.0,1.0,53.24135520452127,lattice
87,87,58,76,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,22.761575197513295,lattice
88,88,59,62,4.61880068523942,1.0719993368176595,1.0,1.0000064814152652,1.000019444371822,1.0,1.0,38.47473753269674,lattice
89,89,60,61,4.618802153517006,1.0719964172363277,1.0,1.000003440013263,1.00001032007529,1.0,1.0,28.884669942738107,lattice
90,90,61,77,4.618802329761334,1.0719998500069043,1.0,1.0000066040880713,1.0000198123950563,1.0,1.0,43.9337085091537,lattice
91,91,62,63,4.618802153517007,1.0719984952482862,1.0,1.0000053784704008,1.0000161354979864,1.0,1.0,27.2899900841302,lattice
92,92,62,80,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,23.227468573639843,lattice
93,93,63,64,4.618802153517007,1.0719993368175884,1.0,1.000006163521716,1.000018490679115,1.0,1.0,31.35983938734448,lattice
94,94,64,65,4.618802153517007,1.0719993368175895,1.0,1.000006163521717,1.0000184906791183,1.0,1.0,24.733777390917155,lattice
95,95,64,82,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,23.192520337876775,lattice
96,96,65,66,4.618805090072641,1.0720003631985917,1.0,1.0000064851861075,1.0000194556844957,1.0,1.0,25.878411108048894,lattice
97,97,66,67,4.618802153517007,1.0719993368175897,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,26.312630052151476,lattice
98,98,66,84,4.618802506006412,1.0719926025393514,1.0,0.9999998051869631,0.9999994155610031,1.0,1.0,22.52174041482533,lattice
99,99,67,68,4.6187992169619925,1.071999336817764,1.0,1.0000067993090132,1.0000203980657316,1.0,1.0,24.29478639324616,lattice
100,100,68,69,4.618802153517007,1.0719993368175884,1.0,1.000006163521716,1.000018490679115,1.0,1.0,31.562329447988557,lattice
101,101,68,86,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,23.214155151692275,lattice
102,102,69,70,4.618802153517007,1.0719984952482864,1.0,1.000005378470401,1.000016135497987,1.0,1.0,26.865969159545557,lattice
103,103,70,71,4.618802153517007,1.0719993368175895,1.0,1.000006163521717,1.0000184906791183,1.0,1.0,39.4176013353656,lattice
104,104,70,88,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,23.547416637304465,lattice
105,105,71,72,4.618802153517007,1.0719993368175904,1.0,1.000006163521718,1.000018490679121,1.0,1.0,35.53445023835211,lattice
106,106,72,73,4.618802153517007,1.0719993368175904,1.0,1.000006163521718,1.000018490679121,1.0,1.0,55.152813273097244,lattice
107,107,72,90,4.618802506005168,1.071992602539062,1.0,0.9999998051869626,0.9999994155610018,1.0,1.0,25.375315518295437,lattice
108,108,73,74,4.618802153517006,1.071992602539062,1.0,0.9999998815028736,0.9999996445086627,1.0,1.0,32.71157715720967,lattice
109,109,73,93,4.6188023297610945,1.0719993368176093,1.0,1.0000061253635375,1.0000183762031725,1.0,1.0,47.501061056098216,lattice
110,110,75,76,4.618802153517006,1.071999850007782,1.0,1.0000066422471585,1.0000199268738341,1.0,1.0,31.551769218233105,lattice
111,111,75,78,4.618802153517006,1.0719998500069579,1.0,1.0000066422463898,1.000019926871528,1.0,1.0,28.775562907639696,lattice
112,112,75,96,4.618802506005169,1.0719964172363277,1.0,1.0000033636970804,1.0000100911251841,1.0,1.0,23.236993542120253,lattice
113,113,76,79,4.618800685239657,1.0719993368176584,1.0,1.0000064814152128,1.0000194443716648,1.0,1.0,32.835582399601584,lattice
114,114,77,78,4.618802153517006,1.0720002319335968,1.0,1.000006998523656,1.000020995717906,1.0,1.0,29.794451767702235,lattice
115,115,79,80,4.618802153517006,1.0719993368175895,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,31.07543716633703,lattice
116,116,79,95,4.61880250600548,1.0719926025391342,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,23.184391420730766,lattice
117,117,80,81,4.618802153517006,1.0719947230708031,1.0,1.0000018596242568,1.000005578883145,1.0,1.0,28.7357485942894,lattice
118,118,81,82,4.618802153517006,1.071999336817587,1.0,1.000006163521715,1.0000184906791123,1.0,1.0,27.149654854526784,lattice
119,119,81,98,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,23.06037885702279,lattice
120,120,82,83,4.618802153517006,1.0719993368175877,1.0,1.0000061635217157,1.0000184906791143,1.0,1.0,25.73735493526663,lattice
121,121,83,84,4.618802153517007,1.0720003632002257,1.0,1.0000071209746997,1.0000213630762242,1.0,1.0,25.238208389933114,lattice
122,122,83,100,4.618802506005169,1.0720002319335937,1.0,1.0000069222071986,1.000020766765347,1.0,1.0,23.01634655994793,lattice
123,123,84,85,4.618802153517006,1.071999336817589,1.0,1.0000061635217168,1.0000184906791176,1.0,1.0,24.70314015322095,lattice
124,124,85,86,4.618802153517006,1.0719993368175877,1.0,1.0000061635217157,1.0000184906791143,1.0,1.0,26.192453194260203,lattice
125,125,85,102,4.618802506006413,1.0719926025393514,1.0,0.9999998051869629,0.9999994155610025,1.0,1.0,22.92847436998271,lattice
126,126,86,87,4.618802153517005,1.0719993368175889,1.0,1.0000061635217166,1.0000184906791176,1.0,1.0,26.61602761559505,lattice
127,127,87,88,4.618802153517006,1.0719947230708047,1.0,1.0000018596242584,1.0000055788831497,1.0,1.0,29.12175538321151,lattice
128,128,87,104,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,22.836411906457954,lattice
129,129,88,89,4.618802153517006,1.0719993368175895,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,31.1161725480531,lattice
130,130,89,90,4.618802153517006,1.0719993368175895,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,33.347779299118145,lattice
131,131,89,106,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,23.836505340491176,lattice
132,132,90,91,4.618802153517003,1.071999336817591,1.0,1.0000061635217194,1.000018490679125,1.0,1.0,30.352489557061734,lattice
133,133,91,92,4.618802153517006,1.0719993368175895,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,29.938200984155383,lattice
134,134,91,108,4.618802506005169,1.071992602539062,1.0,0.9999998051869625,0.9999994155610011,1.0,1.0,22.748051342273822,lattice
135,135,92,93,4.618802153517006,1.0720002319335968,1.0,1.000006998523656,1.000020995717906,1.0,1.0,36.07321146635816,lattice
136,136,94,95,4.618802153517006,1.0719993368175895,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,40.84431918870557,lattice
137,137,94,96,4.618802153517006,1.0719998500078698,1.0,1.0000066422472405,1.00001992687408,1.0,1.0,26.896416242730382,lattice
138,138,94,110,4.618806320702436,1.071992602539062,1.0,0.9999989792816832,0.999996937848175,1.0,1.0,32.78826969904447,lattice
139,139,95,97,4.61880068523942,1.0719993368176601,1.0,1.0000064814152658,1.000019444371824,1.0,1.0,25.952692244199937,lattice
140,140,96,111,4.618804237111132,1.0719998500075223,1.0,1.0000061911327622,1.000018573513277,1.0,1.0,41.67745907130185,lattice
141,141,97,98,4.618802153517006,1.0719976880424298,1.0,1.0000046254747563,1.000013876488454,1.0,1.0,32.99508978240675,lattice
142,142,97,114,4.618806320702436,1.071992602539062,1.0,0.9999989792816832,0.999996937848175,1.0,1.0,26.40144746338926,lattice
143,143,98,99,4.618802153517006,1.071999336817588,1.0,1.000006163521716,1.000018490679115,1.0,1.0,23.87386535389502,lattice
144,144,99,100,4.618802153517007,1.071999336817591,1.0,1.0000061635217186,1.000018490679123,1.0,1.0,26.42331300477736,lattice
145,145,99,116,4.618806320702436,1.071992602539062,1.0,0.9999989792816832,0.999996937848175,1.0,1.0,24.932421252269933,lattice
146,146,100,101,4.618805090072641,1.072000363198592,1.0,1.0000064851861077,1.0000194556844964,1.0,1.0,23.52788450518828,lattice
147,147,101,102,4.618802153517007,1.0719993368175897,1.0,1.0000061635217172,1.000018490679119,1.0,1.0,24.018325414166064,lattice
148,148,101,118,4.618806320703681,1.0719926025393514,1.0,0.9999989792816836,0.9999969378481767,1.0,1.0,25.692881922994125,lattice
149,149,102,103,4.6187992169619925,1.0719993368177656,1.0,1.0000067993090147,1.0000203980657363,1.0,1.0,25.72200823274993,lattice
150,150,103,104,4.618802153517006,1.071999336817588,1.0,1.000006163521716,1.000018490679115,1.0,1.0,24.29496020915163,lattice
151,151,103,120,4.618806320702436,1.071992602539062,1.0,0.9999989792816832,0.999996937848175,1.0,1.0,24.867474397498015,lattice
