edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
0,0,1,-8.009178843548954,-36.408438568639944,-4.009178843548953,-38.71783964539845,4.618802153517008,1.1652182478218558,1.2637067603260335,26.370676032603345,True,-8.479706115396485,-38.92221526592342,26.563618270766355,-4.613099313570731,-40.91395269773462,30.456008590282494
1,0,5,-8.009178843548954,-36.408438568639944,-12.009178843548955,-38.71783964539845,4.6188021535170085,2.0815172485556888,1.2094080842852,20.940808428519997,True,-8.479706115396485,-38.92221526592342,26.563618270766355,-11.789339822754865,-39.16676971053847,31.056957788230335
2,1,2,-4.009178843548953,-38.71783964539845,-4.009178843548953,-43.33664179891546,4.618802153517009,2.956658426733236,1.4190257372052746,41.90257372052746,True,-4.613099313570731,-40.91395269773462,30.456008590282494,-4.23444965363972,-43.77818742922621,36.339061376501476
3,2,3,-4.009178843548953,-43.33664179891546,-8.009178843548954,-45.64604287567396,4.618802153517008,1.1644204995384784,1.0241332963776761,2.413329637767614,True,-4.23444965363972,-43.77818742922621,36.339061376501476,-8.005255706216259,-45.556640939980774,34.10443157630543
4,3,4,-8.009178843548954,-45.64604287567396,-12.009178843548955,-43.33664179891546,4.6188021535170085,1.0261697280335538,1.0245395103741144,2.4539510374114393,True,-8.005255706216259,-45.556640939980774,34.10443157630543,-12.060505416103522,-43.32227905664849,35.08206948245842
5,4,5,-12.009178843548955,-43.33664179891546,-12.009178843548955,-38.71783964539845,4.618802153517009,1.5533611770180897,1.2539309351427277,25.39309351427277,True,-12.060505416103522,-43.32227905664849,35.08206948245842,-11.789339822754865,-39.16676971053847,31.056957788230335
6,6,7,8.009178843548954,-36.408438568639944,12.009178843548955,-38.71783964539845,4.6188021535170085,2.0815164052732955,1.2094078534290469,20.94078534290469,True,8.479705584514116,-38.92221553334281,26.563618637109524,11.789340930439252,-39.16677266622603,31.05695547577674
7,6,11,8.009178843548954,-36.408438568639944,4.009178843548953,-38.71783964539845,4.618802153517008,1.1652185940364035,1.2637070560322383,26.370705603223833,True,8.479705584514116,-38.92221553334281,26.563618637109524,4.613098335111584,-40.91395220073479,30.45601095125708
8,7,8,12.009178843548955,-38.71783964539845,12.009178843548955,-43.33664179891546,4.618802153517009,1.5533614833010239,1.2539305797751783,25.39305797751783,True,11.789340930439252,-39.16677266622603,31.05695547577674,12.060504632131698,-43.32228011878796,35.08206689059333
9,8,9,12.009178843548955,-43.33664179891546,8.009178843548954,-45.64604287567396,4.6188021535170085,1.0261698286785084,1.0245393815736143,2.453938157361435,True,12.060504632131698,-43.32228011878796,35.08206689059333,8.005255113575734,-45.556640645662846,34.10442797022094
