edge,node_i,node_j,x_i_flat_mm,y_i_flat_mm,x_j_flat_mm,y_j_flat_mm,rest_length_mm,direct_stretch,relaxed_stretch,relaxed_strain_pct,boundary_edge,x_i_relaxed_mm,y_i_relaxed_mm,z_i_relaxed_mm,x_j_relaxed_mm,y_j_relaxed_mm,z_j_relaxed_mm
0,0,1,-4.000001907348633,-30.55869952494979,-1.9073486319243216e-06,-32.86810060170829,4.618802153517006,1.000001357996387,1.0697958023148206,6.979580231482063,False,-4.482262454133736,-30.31064611485033,16.44103529664804,-0.12099244082813936,-32.62880514247336,16.584821636634377
1,0,5,-4.000001907348633,-30.55869952494979,-8.000001907348633,-32.86810060170829,4.618802153517005,1.148906584055051,1.0848531661323328,8.485316613233284,True,-4.482262454133736,-30.31064611485033,16.44103529664804,-8.042368749836317,-32.76531476900255,13.909715220931664
2,0,11,-4.000001907348633,-30.55869952494979,-4.000001907348632,-25.93989701894462,4.618802506005171,1.0559421115222574,1.0842564573887923,8.42564573887923,False,-4.482262454133736,-30.31064611485033,16.44103529664804,-4.529748582285847,-25.580039822633136,18.083849061282177
3,1,2,-1.9073486319243216e-06,-32.86810060170829,-1.9073486319243216e-06,-37.4869027552253,4.618802153517009,1.0171752715808104,1.0566114116042027,5.661141160420269,True,-0.12099244082813936,-32.62880514247336,16.584821636634377,-0.003941604119015963,-37.42275224172931,15.678458548619803
4,1,6,-1.9073486319243216e-06,-32.86810060170829,3.9999980926513676,-30.55869952494979,4.618802153517005,1.0000032485108563,1.0660825582452962,6.608255824529619,False,-0.12099244082813936,-32.62880514247336,16.584821636634377,4.287284736389846,-30.438150538796144,16.4659049258799
5,2,3,-1.9073486319243216e-06,-37.4869027552253,-4.000001907348633,-39.796303831983806,4.618802153517008,1.0225900048503005,1.0272837931442902,2.728379314429019,True,-0.003941604119015963,-37.42275224172931,15.678458548619803,-4.031268161964274,-39.725526169781226,14.68287052064858
6,2,9,-1.9073486319243216e-06,-37.4869027552253,3.9999980926513676,-39.796303831983806,4.618802153517007,1.0225900800606194,1.028161678988191,2.816167898819111,True,-0.003941604119015963,-37.42275224172931,15.678458548619803,4.029194810077664,-39.724156332017415,14.68388968490614
7,3,4,-4.000001907348633,-39.796303831983806,-8.000001907348633,-37.4869027552253,4.618802153517007,1.0779259235709613,1.0408601346734057,4.086013467340566,True,-4.031268161964274,-39.725526169781226,14.68287052064858,-7.879651611443507,-37.441593854862845,12.926193496939002
8,4,5,-8.000001907348633,-37.4869027552253,-8.000001907348633,-32.86810060170829,4.618802153517009,1.027232952893697,1.0351942285496463,3.5194228549646267,True,-7.879651611443507,-37.441593854862845,12.926193496939002,-8.042368749836317,-32.76531476900255,13.909715220931664
9,5,12,-8.000001907348633,-32.86810060170829,-12.000001907348633,-30.55869917246163,4.618802329761096,1.2556878939602392,1.0920267250737514,9.202672507375143,True,-8.042368749836317,-32.76531476900255,13.909715220931664,-11.545400164691454,-30.363338452456418,11.189465266850915
10,6,7,3.9999980926513676,-30.55869952494979,7.999998092651368,-32.86810060170829,4.618802153517005,1.1490430670697982,1.0971016405715128,9.710164057151282,True,4.287284736389846,-30.438150538796144,16.4659049258799,8.010173388655616,-32.75835478492754,13.929325494121793
11,6,15,3.9999980926513676,-30.55869952494979,4.000001483493921,-25.93989701894462,4.618802506006415,1.056222200901465,1.08399356681479,8.399356681478999,False,4.287284736389846,-30.438150538796144,16.4659049258799,3.7680517976221504,-25.7736785664475,18.209655480204244
12,7,8,7.999998092651368,-32.86810060170829,7.999998092651368,-37.4869027552253,4.618802153517009,1.0272322605202895,1.0363082473558536,3.6308247355853585,True,8.010173388655616,-32.75835478492754,13.929325494121793,7.876255325009536,-37.437649874570575,12.930890653111055
13,7,18,7.999998092651368,-32.86810060170829,11.999998092651369,-30.55869917246163,4.618802329761097,1.2544677683350722,1.0929746171710233,9.29746171710233,True,8.010173388655616,-32.75835478492754,13.929325494121793,11.522476721720867,-30.33660994147092,11.230521910693493
14,8,9,7.999998092651368,-37.4869027552253,3.9999980926513676,-39.796303831983806,4.618802153517007,1.0783649857312985,1.0406051122191584,4.060511221915841,True,7.876255325009536,-37.437649874570575,12.930890653111055,4.029194810077664,-39.724156332017415,14.68388968490614
15,10,11,-8.000001907348633,-23.63049594218612,-4.000001907348632,-25.93989701894462,4.618802153517006,1.0072749954325808,1.0873071802763141,8.730718027631411,False,-8.927534042593598,-23.348176653521307,17.135522220235096,-4.529748582285847,-25.580039822633136,18.083849061282177
16,10,13,-8.000001907348633,-23.63049594218612,-12.000001907348633,-25.93989701894462,4.618802153517005,1.4037258316425159,1.1699111766845016,16.991117668450162,True,-8.927534042593598,-23.348176653521307,17.135522220235096,-11.819606245570466,-25.7942467445067,13.281767480872897
17,10,26,-8.000001907348633,-23.63049594218612,-8.000001599442154,-19.01169398709429,4.61880195509184,1.1755760368171457,1.1529785810357498,15.29785810357498,False,-8.927534042593598,-23.348176653521307,17.135522220235096,-8.554884190684428,-18.97385400720259,20.149838507788324
18,11,14,-4.000001907348632,-25.93989701894462,1.4834939202693828e-06,-23.63049594218612,4.618805090073107,1.051386691497062,1.1023377739719125,10.233777397191247,False,-4.529748582285847,-25.580039822633136,18.083849061282177,-0.3468048098211528,-23.22049748166204,19.774631054819892
19,12,13,-12.000001907348633,-30.55869917246163,-12.000001907348633,-25.93989701894462,4.618802153517009,1.145292927608542,1.089642642794398,8.964264279439792,True,-11.545400164691454,-30.363338452456418,11.189465266850915,-11.819606245570466,-25.7942467445067,13.281767480872897
20,13,27,-12.000001907348633,-25.93989701894462,-16.000001599442157,-23.6304961406113,4.618801787649585,1.5877912577494042,1.0808202975681747,8.082029756817466,True,-11.819606245570466,-25.7942467445067,13.281767480872897,-15.035156562603168,-22.967652570345816,10.714354142121065
21,14,15,1.4834939202693828e-06,-23.63049594218612,4.000001483493921,-25.93989701894462,4.618802153517005,1.0513959617748676,1.1018434928990097,10.184349289900974,False,-0.3468048098211528,-23.22049748166204,19.774631054819892,3.7680517976221504,-25.7736785664475,18.209655480204244
22,14,30,1.4834939202693828e-06,-23.63049594218612,-1.9073486319243216e-06,-19.01169343618095,4.618802506006415,1.1425705025593282,1.1172916308877143,11.729163088771433,False,-0.3468048098211528,-23.22049748166204,19.774631054819892,-0.24198193987637487,-18.73168202402247,22.318411293943694
23,15,16,4.000001483493921,-25.93989701894462,7.999998092651368,-23.63049594218612,4.618799216961525,1.0073773913631539,1.0711262193643725,7.112621936437247,True,3.7680517976221504,-25.7736785664475,18.209655480204244,8.15096728363342,-23.608060328738613,17.450646634324833
24,16,17,7.999998092651368,-23.63049594218612,11.999998092651369,-25.93989701894462,4.618802153517006,1.4038327238923287,1.2047193435255377,20.471934352553767,True,8.15096728363342,-23.608060328738613,17.450646634324833,11.5022906959928,-25.833701736972515,13.606526808334579
25,16,32,7.999998092651368,-23.63049594218612,7.999998092651368,-19.01169343618095,4.618802506005171,1.1762963539874687,1.167508497364734,16.750849736473405,True,8.15096728363342,-23.608060328738613,17.450646634324833,7.938262434760427,-19.07686287063055,20.36645995108772
26,17,18,11.999998092651369,-25.93989701894462,11.999998092651369,-30.55869917246163,4.618802153517009,1.1443807421172372,1.1023126764200428,10.231267642004283,True,11.5022906959928,-25.833701736972515,13.606526808334579,11.522476721720867,-30.33660994147092,11.230521910693493
27,19,20,11.997715801477744,-16.708944224595704,15.997715801477746,-19.01834530135421,4.6188021535170085,1.718327164608538,1.2487823212503433,24.878232125034327,True,12.504549849693234,-17.313169227001005,18.994904241121247,15.462504395945563,-18.95672236601104,14.323966425215334
28,19,24,11.997715801477744,-16.708944224595704,7.997715801477743,-19.01834530135421,4.618802153517008,1.0050622296918208,1.0524560965993992,5.2456096599399205,True,12.504549849693234,-17.313169227001005,18.994904241121247,8.205559226338263,-19.31403234038338,20.06513236675103
29,20,21,15.997715801477746,-19.01834530135421,15.997715801477746,-23.63714745487121,4.618802153517002,1.656698485104779,1.1799428443609408,17.994284436094077,True,15.462504395945563,-18.95672236601104,14.323966425215334,15.03516200222546,-22.9933884580883,10.68743495323276
30,21,22,15.997715801477746,-23.63714745487121,11.997715801477744,-25.946548531629716,4.6188021535170085,1.573479134857794,1.0988051593909631,9.880515939096313,True,15.03516200222546,-22.9933884580883,10.68743495323276,11.717626061089492,-25.59765514102987,13.510383103756942
31,22,23,11.997715801477744,-25.946548531629716,7.997715801477743,-23.63714745487121,4.618802153517008,1.403701964357887,1.181923555610094,18.1923555610094,True,11.717626061089492,-25.59765514102987,13.510383103756942,8.3313431386284,-23.6518634758347,17.32462479063262
32,23,24,7.997715801477743,-23.63714745487121,7.997715801477743,-19.01834530135421,4.618802153517002,1.1761065844667267,1.1112278328858591,11.122783288585914,True,8.3313431386284,-23.6518634758347,17.32462479063262,8.205559226338263,-19.31403234038338,20.06513236675103
33,25,26,-12.000001599442156,-16.70229291033579,-8.000001599442154,-19.01169398709429,4.618802153517007,1.0050170494466517,1.1152256648823844,11.52256648823844,False,-13.061972098168802,-16.701793303165438,19.121845899947555,-8.554884190684428,-18.97385400720259,20.149838507788324
34,25,28,-12.000001599442156,-16.70229291033579,-16.000001599442157,-19.01169398709429,4.618802153517007,1.7153750569470168,1.2621849316626677,26.218493166266764,True,-13.061972098168802,-16.701793303165438,19.121845899947555,-15.573601171456552,-18.827808521684762,14.309555129556852
35,25,34,-12.000001599442156,-16.70229291033579,-12.000001907348633,-12.083489853417278,4.61880305691852,1.4474251079634117,1.2382094336225342,23.820943362253423,False,-13.061972098168802,-16.701793303165438,19.121845899947555,-12.938627895355122,-12.824221994102293,23.323834545537363
36,26,29,-8.000001599442154,-19.01169398709429,-4.000001907348633,-16.702292359422447,4.618802162318886,1.1888143701782985,1.1805780756614963,18.05780756614963,False,-8.554884190684428,-18.97385400720259,20.149838507788324,-4.817581449082012,-16.54790890387934,23.293244833982854
37,27,28,-16.000001599442157,-23.6304961406113,-16.000001599442157,-19.01169398709429,4.618802153517009,1.6739623408821582,1.1928242775308688,19.282427753086886,True,-15.035156562603168,-22.967652570345816,10.714354142121065,-15.573601171456552,-18.827808521684762,14.309555129556852
38,28,35,-16.000001599442157,-19.01169398709429,-20.000001907348633,-16.702292006934286,4.61880287187263,1.6114652026524579,1.065201353284869,6.520135328486898,True,-15.573601171456552,-18.827808521684762,14.309555129556852,-19.07652212169258,-15.576733408936752,13.140789406545412
39,29,30,-4.000001907348633,-16.702292359422447,-1.9073486319243216e-06,-19.01169343618095,4.618802153517006,1.0339309825244567,1.1177951862585858,11.779518625858575,False,-4.817581449082012,-16.54790890387934,23.293244833982854,-0.24198193987637487,-18.73168202402247,22.318411293943694
40,29,38,-4.000001907348633,-16.702292359422447,-4.000001907348632,-12.083489853417278,4.618802506005169,1.3441203505584327,1.1790178297623501,17.901782976235015,False,-4.817581449082012,-16.54790890387934,23.293244833982854,-4.583177892919675,-12.51899315042943,26.949472707888212
41,30,31,-1.9073486319243216e-06,-19.01169343618095,3.9999980926513676,-16.702292359422447,4.618802153517005,1.0339309609991916,1.1198051999529683,11.980519995296834,False,-0.24198193987637487,-18.73168202402247,22.318411293943694,4.3095987209782916,-16.535922564601687,23.419764635090107
42,31,32,3.9999980926513676,-16.702292359422447,7.999998092651368,-19.01169343618095,4.618802153517005,1.188550078225492,1.1648413413933274,16.48413413933274,True,4.3095987209782916,-16.535922564601687,23.419764635090107,7.938262434760427,-19.07686287063055,20.36645995108772
43,31,40,3.9999980926513676,-16.702292359422447,4.000001483493921,-12.083489853417278,4.618802506006413,1.3454910152970272,1.1756650237584299,17.566502375842987,False,4.3095987209782916,-16.535922564601687,23.419764635090107,4.311051728189731,-12.48505338074625,27.035998016742926
44,32,43,7.999998092651368,-19.01169343618095,11.999998092651369,-16.702292006934286,4.618802329761097,1.0050503539217608,1.074278426782282,7.4278426782282025,True,7.938262434760427,-19.07686287063055,20.36645995108772,12.245705950147038,-16.692703303471017,19.748427847022402
45,33,34,-16.000001907348633,-9.774088776658775,-12.000001907348633,-12.083489853417278,4.618802153517006,1.0020005635785771,1.1415475499452954,14.15475499452954,False,-17.549617945226434,-10.357587772405058,22.649586596256015,-12.938627895355122,-12.824221994102293,23.323834545537363
46,33,36,-16.000001907348633,-9.774088776658775,-20.000001907348633,-12.083489853417278,4.618802153517006,1.7746279285093962,1.2374080557500904,23.740805575009038,True,-17.549617945226434,-10.357587772405058,22.649586596256015,-19.831412919776216,-12.197458668297402,17.743118181548855
47,33,52,-16.000001907348633,-9.774088776658775,-16.000001907348633,-5.1552862706536065,4.618802506005169,1.2249589020704175,1.2347314653348207,23.47314653348207,False,-17.549617945226434,-10.357587772405058,22.649586596256015,-17.683305499734743,-5.849170246007649,26.139613658430907
